2015-11-10,10845.240234,10887.740234,10988.030273,10815.450195,10832.519531,
2015-11-11,10887.740234,10988.030273,10815.450195,10832.519531,10907.870117,
2015-11-12,10988.030273,10815.450195,10832.519531,10907.870117,10782.629883,
2015-11-13,10815.450195,10832.519531,10907.870117,10782.629883,10708.400391,
2015-11-16,10832.519531,10907.870117,10782.629883,10708.400391,10713.230469,
2015-11-17,10907.870117,10782.629883,10708.400391,10713.230469,10971.040039,
2015-11-18,10782.629883,10708.400391,10713.230469,10971.040039,10959.950195,
2015-11-19,10708.400391,10713.230469,10971.040039,10959.950195,11085.44043,
2015-11-20,10713.230469,10971.040039,10959.950195,11085.44043,11119.830078,
2015-11-23,10971.040039,10959.950195,11085.44043,11119.830078,11092.30957,
2015-11-24,10959.950195,11085.44043,11119.830078,11092.30957,10933.990234,
2015-11-25,11085.44043,11119.830078,11092.30957,10933.990234,11169.540039,
2015-11-26,11119.830078,11092.30957,10933.990234,11169.540039,11320.769531,
2015-11-27,11092.30957,10933.990234,11169.540039,11320.769531,11293.759766,
2015-11-30,10933.990234,11169.540039,11320.769531,11293.759766,11382.230469,
2015-12-01,11169.540039,11320.769531,11293.759766,11382.230469,11261.240234,
